 x,rho,vitesse,pression
  0.2500E-02,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.5000E-02,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.7500E-02,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1000E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1250E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1500E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1750E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.2000E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.2250E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.2500E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.2750E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.3000E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.3250E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.3500E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.3750E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.4000E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.4250E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.4500E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.4750E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.5000E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.5250E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.5500E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.5750E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.6000E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.6250E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.6500E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.6750E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.7000E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.7250E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.7500E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.7750E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.8000E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.8250E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.8500E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.8750E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.9000E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.9250E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.9500E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.9750E-01,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1000E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1025E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1050E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1075E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1100E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1125E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1150E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1175E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1200E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1225E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1250E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1275E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1300E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1325E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1350E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1375E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
  0.1400E+00,  0.1000E+01,  0.0000E+00,  0.1000E+01
